0:	adc
1:	swi
2:	mov
3:	swi
4:	mov
5:	mov
6:	swi
7:	mov
8:	swi
9:	mov
10:	mov
11:	add
12:	swi
13:	mov
14:	swi
15:	mov
16:	add
17:	swi
18:	mov
19:	swi
20:	mov
21:	div
22:	swi
23:	mov
24:	swi
25:	mvn
26:	add
27:	mvn
28:	mul
29:	swi
30:	mov
31:	swi
32:	mvn
33:	mvn
34:	mov
35:	mla
36:	swi
37:	mov
38:	swi
39:	mov
40:	mov
41:	mov
42:	mov
43:	swi
44:	mov
45:	swi
46:	mov
47:	mvn
48:	mov
49:	mvn
50:	mov
51:	mvn
52:	mov
53:	mvn
54:	mov
55:	mvn
56:	mov
57:	mvn
58:	add
59:	add
60:	add
61:	add
62:	add
63:	add
64:	add
65:	add
66:	add
67:	add
68:	add
69:	mvn
70:	mov
71:	swi
72:	mov
73:	swi
74:	mov
75:	and
76:	eor
77:	orr
78:	swi
79:	mov
80:	swi
81:	mov
82:	swi
83:	mov
84:	swi
85:	mov
86:	swi
87:	mov
88:	swi
89:	mov
90:	swi
91:	mov
92:	swi
93:	swi
Hey, I foung the #SysHalt at location 93
